,off_pos,def_pos,time,period
40,0,1,09:48,1
39,1,0,09:25,1
38,1,0,08:59,1
37,0,1,08:50,1
36,1,0,08:33,1
35,0,1,08:24,1
34,1,0,08:16,1
33,0,1,08:07,1
32,1,0,08:02,1
31,0,1,07:54,1
30,1,0,07:46,1
29,0,1,07:26,1
28,1,0,07:18,1
27,0,1,06:41,1
26,1,0,06:33,1
25,1,0,06:21,1
24,0,1,06:10,1
23,1,0,05:59,1
22,0,1,05:47,1
21,1,0,05:31,1
20,0,1,05:22,1
19,1,0,04:54,1
18,0,1,04:32,1
17,1,0,04:24,1
16,0,1,04:21,1
15,1,0,04:10,1
14,0,1,03:53,1
13,1,0,03:49,1
12,0,1,03:31,1
11,1,0,03:17,1
10,0,1,03:03,1
9,1,0,02:56,1
8,1,0,02:55,1
7,0,1,02:39,1
6,1,0,02:33,1
5,0,1,02:08,1
4,1,0,02:05,1
3,1,0,01:38,1
2,0,1,00:38,1
1,1,0,00:15,1
0,1,0,00:06,1
83,1,0,09:45,2
82,0,1,09:37,2
81,1,0,09:34,2
80,0,1,09:29,2
79,1,0,09:22,2
78,0,1,09:14,2
77,1,0,09:10,2
76,0,1,08:49,2
75,1,0,08:37,2
74,0,1,08:19,2
73,1,0,07:57,2
72,0,1,07:43,2
71,1,0,07:38,2
70,0,1,07:22,2
69,1,0,07:15,2
68,0,1,07:09,2
67,1,0,07:07,2
66,0,1,06:12,2
65,1,0,05:56,2
64,0,1,05:32,2
63,1,0,05:25,2
62,0,1,05:12,2
61,1,0,04:53,2
60,0,1,04:33,2
59,1,0,04:29,2
58,0,1,04:19,2
57,1,0,04:11,2
56,0,1,03:47,2
55,1,0,03:33,2
54,0,1,02:57,2
53,1,0,02:53,2
52,0,1,02:28,2
51,1,0,02:14,2
50,0,1,02:09,2
49,1,0,01:57,2
48,1,0,01:43,2
47,0,1,01:25,2
46,1,0,01:17,2
45,0,1,00:56,2
44,1,0,00:44,2
43,0,1,00:33,2
42,1,0,00:10,2
41,0,1,00:03,2
128,0,1,09:51,3
127,1,0,09:37,3
126,0,1,09:25,3
125,1,0,09:07,3
124,0,1,08:54,3
123,1,0,08:50,3
122,0,1,08:40,3
121,1,0,08:20,3
120,1,0,08:12,3
119,0,1,07:47,3
118,1,0,07:36,3
117,0,1,07:26,3
116,1,0,07:18,3
115,0,1,06:58,3
114,1,0,06:42,3
113,0,1,06:35,3
112,1,0,06:26,3
111,0,1,06:01,3
110,1,0,05:50,3
109,0,1,05:27,3
108,1,0,05:13,3
107,0,1,05:01,3
106,1,0,04:51,3
105,1,0,04:34,3
104,0,1,04:20,3
103,1,0,04:11,3
102,1,0,04:08,3
101,1,0,04:02,3
100,0,1,03:47,3
99,1,0,03:22,3
98,0,1,02:53,3
97,0,1,02:41,3
96,1,0,02:40,3
95,0,1,02:29,3
94,1,0,02:23,3
93,0,1,02:19,3
92,1,0,02:08,3
91,0,1,02:02,3
90,1,0,01:59,3
89,0,1,01:44,3
88,1,0,01:23,3
87,0,1,01:12,3
86,1,0,00:47,3
85,1,0,00:42,3
84,1,0,00:10,3
168,1,0,09:43,4
167,0,1,09:35,4
166,1,0,09:31,4
165,1,0,09:13,4
164,1,0,08:47,4
163,0,1,08:23,4
162,1,0,08:01,4
161,0,1,07:42,4
160,1,0,07:32,4
159,1,0,07:21,4
158,1,0,07:18,4
157,0,1,07:03,4
156,1,0,06:55,4
155,0,1,06:32,4
154,1,0,06:24,4
153,1,0,06:10,4
152,1,0,06:05,4
151,0,1,05:49,4
150,1,0,05:34,4
149,0,1,05:10,4
148,1,0,05:08,4
147,1,0,05:01,4
146,0,1,04:52,4
145,1,0,04:18,4
144,0,1,04:08,4
143,1,0,04:00,4
142,0,1,03:40,4
141,1,0,03:20,4
140,1,0,03:07,4
139,1,0,02:45,4
138,0,1,02:27,4
137,1,0,02:07,4
136,1,0,01:58,4
135,0,1,01:46,4
134,1,0,01:33,4
133,0,1,01:30,4
132,1,0,01:21,4
131,0,1,01:09,4
130,1,0,00:49,4
129,0,1,00:11,4
