,off_pos,def_pos,time,period
41,0,1,09:50,1
40,1,0,09:42,1
39,0,1,09:21,1
38,1,0,09:00,1
37,0,1,08:47,1
36,1,0,08:20,1
35,0,1,08:04,1
34,1,0,07:54,1
33,1,0,07:38,1
32,0,1,07:34,1
31,1,0,07:23,1
30,0,1,07:22,1
29,1,0,07:13,1
28,0,1,06:52,1
27,1,0,06:37,1
26,0,1,06:27,1
25,1,0,06:17,1
24,0,1,05:47,1
23,1,0,05:42,1
22,0,1,05:37,1
21,1,0,05:28,1
20,0,1,05:10,1
19,1,0,04:46,1
18,0,1,04:37,1
17,1,0,04:28,1
16,0,1,04:01,1
15,1,0,03:54,1
14,0,1,03:46,1
13,1,0,03:37,1
12,0,1,03:24,1
11,1,0,03:01,1
10,0,1,02:37,1
9,1,0,02:14,1
8,0,1,01:59,1
7,1,0,01:42,1
6,0,1,01:37,1
5,1,0,01:30,1
4,0,1,01:20,1
3,1,0,01:11,1
2,0,1,00:49,1
1,1,0,00:28,1
0,1,0,00:07,1
83,0,1,09:38,2
82,1,0,09:05,2
81,0,1,08:49,2
80,1,0,08:48,2
79,0,1,08:39,2
78,1,0,08:22,2
77,0,1,07:51,2
76,0,1,07:36,2
75,1,0,07:24,2
74,0,1,07:06,2
73,1,0,06:52,2
72,0,1,06:40,2
71,1,0,06:28,2
70,1,0,06:26,2
69,0,1,06:09,2
68,1,0,06:01,2
67,0,1,05:37,2
66,1,0,05:27,2
65,0,1,04:57,2
64,1,0,04:46,2
63,0,1,04:43,2
62,1,0,04:35,2
61,0,1,04:18,2
60,1,0,04:13,2
59,0,1,03:46,2
58,1,0,03:36,2
57,1,0,03:19,2
56,0,1,03:10,2
55,1,0,03:04,2
54,0,1,02:46,2
53,1,0,02:43,2
52,0,1,02:33,2
51,1,0,02:11,2
50,0,1,02:07,2
49,1,0,01:59,2
48,1,0,01:39,2
47,0,1,01:19,2
46,1,0,01:04,2
45,0,1,00:40,2
44,1,0,00:31,2
43,1,0,00:17,2
42,0,1,00:13,2
121,1,0,09:50,3
120,0,1,09:18,3
119,1,0,09:12,3
118,0,1,08:36,3
117,1,0,08:09,3
116,0,1,07:57,3
115,1,0,07:26,3
114,0,1,06:59,3
113,1,0,06:39,3
112,1,0,06:37,3
111,0,1,06:13,3
110,1,0,06:04,3
109,1,0,05:45,3
108,1,0,05:33,3
107,1,0,05:05,3
106,0,1,04:58,3
105,0,1,04:45,3
104,1,0,04:33,3
103,0,1,04:02,3
102,1,0,03:49,3
101,0,1,03:34,3
100,1,0,03:31,3
99,0,1,03:29,3
98,1,0,03:03,3
97,0,1,02:53,3
96,1,0,02:50,3
95,0,1,02:35,3
94,1,0,02:07,3
93,1,0,02:05,3
92,0,1,01:46,3
91,1,0,01:36,3
90,0,1,01:26,3
89,1,0,01:07,3
88,0,1,00:46,3
87,1,0,00:39,3
86,1,0,00:16,3
85,1,0,00:03,3
84,1,0,00:01,3
166,0,1,09:45,4
165,1,0,09:15,4
164,1,0,09:07,4
163,1,0,08:55,4
162,0,1,08:51,4
161,1,0,08:38,4
160,0,1,08:33,4
159,1,0,08:20,4
158,0,1,08:17,4
157,1,0,08:16,4
156,1,0,07:58,4
155,0,1,07:30,4
154,1,0,07:11,4
153,0,1,06:59,4
152,1,0,06:47,4
151,0,1,06:32,4
150,1,0,06:11,4
149,0,1,06:01,4
148,1,0,05:40,4
147,0,1,05:37,4
146,1,0,05:22,4
145,1,0,05:14,4
144,0,1,04:42,4
143,1,0,04:30,4
142,0,1,04:22,4
141,1,0,04:13,4
140,1,0,03:45,4
139,0,1,03:33,4
138,1,0,03:21,4
137,0,1,03:17,4
136,1,0,02:50,4
135,1,0,02:31,4
134,0,1,02:09,4
133,1,0,01:50,4
132,1,0,01:34,4
131,0,1,01:25,4
130,1,0,01:11,4
129,1,0,01:04,4
128,1,0,01:01,4
127,0,1,00:56,4
126,1,0,00:52,4
125,1,0,00:50,4
124,0,1,00:34,4
123,1,0,00:31,4
122,0,1,00:20,4
