,off_pos,def_pos,time,period
37,1,0,09:41,1
36,0,1,09:15,1
35,1,0,08:56,1
34,1,0,08:50,1
33,0,1,08:31,1
32,1,0,08:08,1
31,0,1,07:53,1
30,1,0,07:39,1
29,0,1,07:26,1
28,1,0,07:15,1
27,0,1,07:03,1
26,1,0,06:56,1
25,0,1,06:35,1
24,1,0,06:19,1
23,0,1,05:52,1
22,1,0,05:33,1
21,0,1,05:23,1
20,1,0,05:08,1
19,1,0,05:01,1
18,0,1,04:47,1
17,1,0,04:32,1
16,0,1,04:10,1
15,1,0,03:57,1
14,1,0,03:32,1
13,0,1,02:56,1
12,1,0,02:53,1
11,0,1,02:29,1
10,1,0,02:23,1
9,0,1,02:05,1
8,1,0,01:53,1
7,0,1,01:45,1
6,1,0,01:36,1
5,0,1,01:35,1
4,1,0,01:26,1
3,0,1,01:19,1
2,1,0,01:01,1
1,0,1,00:34,1
0,1,0,00:11,1
69,0,1,09:05,2
68,1,0,08:48,2
67,0,1,08:32,2
66,1,0,08:09,2
65,1,0,08:05,2
64,0,1,07:41,2
63,1,0,07:22,2
62,0,1,07:17,2
61,0,1,07:09,2
60,1,0,06:55,2
59,1,0,06:12,2
58,1,0,05:48,2
57,0,1,05:17,2
56,1,0,05:04,2
55,1,0,04:57,2
54,0,1,04:50,2
53,1,0,04:42,2
52,0,1,04:07,2
51,1,0,03:47,2
50,0,1,03:14,2
49,1,0,03:00,2
48,0,1,02:32,2
47,1,0,02:21,2
46,1,0,02:18,2
45,1,0,02:01,2
44,1,0,01:55,2
43,0,1,01:29,2
42,1,0,01:16,2
41,0,1,00:49,2
40,1,0,00:38,2
39,0,1,00:18,2
38,1,0,00:05,2
105,1,0,09:42,3
104,1,0,09:26,3
103,0,1,09:10,3
102,1,0,09:04,3
101,0,1,08:24,3
100,1,0,07:51,3
99,1,0,07:16,3
98,1,0,07:13,3
97,0,1,06:50,3
96,0,1,06:48,3
95,1,0,06:38,3
94,1,0,06:25,3
93,0,1,06:16,3
92,1,0,06:06,3
91,1,0,05:59,3
90,1,0,05:42,3
89,0,1,04:54,3
88,1,0,04:47,3
87,0,1,04:24,3
86,1,0,04:11,3
85,0,1,03:51,3
84,1,0,03:46,3
83,0,1,03:28,3
82,1,0,03:12,3
81,0,1,02:40,3
80,1,0,02:16,3
79,0,1,02:13,3
78,1,0,01:53,3
77,0,1,01:26,3
76,1,0,01:17,3
75,0,1,01:00,3
74,1,0,00:49,3
73,0,1,00:28,3
72,1,0,00:07,3
71,1,0,00:03,3
70,1,0,00:00,3
141,0,1,09:41,4
140,1,0,09:31,4
139,1,0,09:30,4
138,0,1,08:54,4
137,1,0,08:43,4
136,0,1,07:56,4
135,1,0,07:46,4
134,1,0,07:43,4
133,1,0,07:36,4
132,1,0,07:16,4
131,0,1,06:50,4
130,1,0,06:21,4
129,1,0,06:20,4
128,0,1,05:51,4
127,1,0,05:34,4
126,1,0,05:14,4
125,0,1,05:12,4
124,1,0,04:58,4
123,1,0,04:55,4
122,0,1,04:44,4
121,1,0,04:41,4
120,1,0,04:25,4
119,1,0,03:38,4
118,1,0,03:14,4
117,0,1,02:53,4
116,0,1,02:47,4
115,1,0,02:25,4
114,1,0,02:05,4
113,1,0,01:23,4
112,0,1,01:19,4
111,1,0,01:11,4
110,0,1,00:50,4
109,1,0,00:19,4
108,0,1,00:14,4
107,1,0,00:13,4
106,0,1,00:01,4
