,off_pos,def_pos,time,period
42,1,0,09:38,1
41,0,1,09:10,1
40,1,0,09:03,1
39,1,0,08:59,1
38,0,1,08:43,1
37,1,0,08:29,1
36,0,1,08:21,1
35,1,0,08:07,1
34,0,1,07:43,1
33,1,0,07:18,1
32,0,1,07:08,1
31,1,0,06:52,1
30,0,1,06:48,1
29,1,0,06:26,1
28,0,1,06:14,1
27,1,0,05:58,1
26,0,1,05:43,1
25,1,0,05:37,1
24,0,1,05:26,1
23,0,1,05:23,1
22,1,0,05:10,1
21,0,1,04:52,1
20,1,0,04:27,1
19,0,1,04:08,1
18,1,0,03:53,1
17,0,1,03:40,1
16,1,0,03:24,1
15,0,1,03:12,1
14,1,0,03:02,1
13,1,0,02:54,1
12,1,0,02:48,1
11,0,1,02:34,1
10,0,1,02:32,1
9,1,0,02:08,1
8,0,1,01:57,1
7,1,0,01:42,1
6,0,1,01:30,1
5,1,0,01:20,1
4,0,1,01:00,1
3,1,0,00:48,1
2,0,1,00:27,1
1,1,0,00:10,1
0,0,1,00:00,1
86,1,0,09:34,2
85,1,0,09:22,2
84,0,1,09:07,2
83,1,0,08:53,2
82,1,0,08:49,2
81,0,1,08:28,2
80,1,0,08:15,2
79,0,1,08:05,2
78,1,0,07:43,2
77,0,1,07:06,2
76,1,0,06:45,2
75,1,0,06:42,2
74,0,1,06:29,2
73,1,0,06:17,2
72,0,1,06:14,2
71,1,0,06:05,2
70,0,1,05:54,2
69,0,1,05:38,2
68,0,1,05:26,2
67,1,0,05:23,2
66,0,1,04:52,2
65,1,0,04:34,2
64,0,1,04:18,2
63,1,0,04:12,2
62,0,1,04:08,2
61,1,0,03:49,2
60,0,1,03:32,2
59,1,0,03:20,2
58,1,0,03:00,2
57,1,0,02:54,2
56,1,0,02:39,2
55,0,1,02:24,2
54,1,0,02:09,2
53,0,1,02:00,2
52,1,0,01:52,2
51,1,0,01:40,2
50,1,0,01:39,2
49,1,0,01:11,2
48,0,1,01:08,2
47,1,0,00:56,2
46,1,0,00:38,2
45,0,1,00:37,2
44,1,0,00:26,2
43,0,1,00:08,2
128,1,0,09:47,3
127,0,1,09:31,3
126,1,0,09:05,3
125,0,1,08:53,3
124,1,0,08:35,3
123,0,1,08:20,3
122,1,0,08:00,3
121,0,1,07:36,3
120,1,0,07:22,3
119,0,1,07:17,3
118,0,1,07:15,3
117,1,0,06:54,3
116,0,1,06:51,3
115,1,0,06:48,3
114,1,0,06:30,3
113,0,1,06:29,3
112,1,0,06:18,3
111,1,0,05:48,3
110,1,0,05:15,3
109,1,0,04:48,3
108,1,0,04:27,3
107,0,1,04:17,3
106,1,0,04:08,3
105,0,1,04:00,3
104,1,0,03:47,3
103,0,1,03:36,3
102,1,0,03:30,3
101,0,1,03:10,3
100,1,0,03:00,3
99,0,1,02:45,3
98,1,0,02:32,3
97,1,0,02:08,3
96,1,0,01:59,3
95,0,1,01:45,3
94,1,0,01:32,3
93,1,0,01:28,3
92,0,1,01:15,3
91,1,0,01:01,3
90,0,1,00:44,3
89,1,0,00:31,3
88,0,1,00:10,3
87,1,0,00:00,3
163,1,0,09:40,4
162,1,0,09:21,4
161,0,1,09:02,4
160,1,0,08:47,4
159,0,1,08:42,4
158,1,0,08:27,4
157,0,1,07:59,4
156,1,0,07:43,4
155,1,0,07:25,4
154,1,0,07:13,4
153,0,1,06:54,4
152,1,0,06:38,4
151,0,1,06:30,4
150,1,0,06:21,4
149,1,0,06:18,4
148,1,0,06:11,4
147,0,1,06:01,4
146,1,0,05:34,4
145,1,0,05:22,4
144,1,0,05:02,4
143,0,1,04:53,4
142,1,0,04:25,4
141,0,1,04:07,4
140,1,0,03:36,4
139,0,1,03:15,4
138,1,0,03:11,4
137,0,1,02:51,4
136,0,1,02:44,4
135,1,0,02:22,4
134,0,1,02:08,4
133,1,0,01:42,4
132,0,1,01:24,4
131,1,0,01:04,4
130,0,1,00:55,4
129,0,1,00:23,4
