,off_pos,def_pos,time,period
36,0,1,09:45,1
35,1,0,09:30,1
34,0,1,09:18,1
33,1,0,09:14,1
32,1,0,09:05,1
31,0,1,08:45,1
30,1,0,08:26,1
29,0,1,08:07,1
28,1,0,07:53,1
27,0,1,07:30,1
26,1,0,07:18,1
25,0,1,06:59,1
24,1,0,06:54,1
23,0,1,06:47,1
22,1,0,06:33,1
21,0,1,06:23,1
20,1,0,05:54,1
19,1,0,05:47,1
18,0,1,05:44,1
17,0,1,05:32,1
16,1,0,05:09,1
15,0,1,04:55,1
14,1,0,04:33,1
13,1,0,03:39,1
12,0,1,03:06,1
11,1,0,02:49,1
10,0,1,02:32,1
9,1,0,02:15,1
8,0,1,02:14,1
7,1,0,01:59,1
6,0,1,01:29,1
5,1,0,01:14,1
4,1,0,01:07,1
3,0,1,00:52,1
2,1,0,00:49,1
1,0,1,00:24,1
0,1,0,00:01,1
71,1,0,09:49,2
70,0,1,09:33,2
69,0,1,09:09,2
68,1,0,09:05,2
67,1,0,08:58,2
66,1,0,08:45,2
65,0,1,08:38,2
64,1,0,08:25,2
63,0,1,08:01,2
62,1,0,07:52,2
61,1,0,07:31,2
60,1,0,07:12,2
59,1,0,06:54,2
58,0,1,06:37,2
57,1,0,06:22,2
56,0,1,06:07,2
55,0,1,05:44,2
54,0,1,05:36,2
53,1,0,05:17,2
52,1,0,05:16,2
51,0,1,05:02,2
50,1,0,04:57,2
49,1,0,04:06,2
48,0,1,03:59,2
47,1,0,03:36,2
46,0,1,03:17,2
45,1,0,02:56,2
44,1,0,02:53,2
43,1,0,02:22,2
42,0,1,02:09,2
41,1,0,01:40,2
40,0,1,01:18,2
39,1,0,00:49,2
38,1,0,00:22,2
37,0,1,00:02,2
105,0,1,09:49,3
104,1,0,09:31,3
103,1,0,09:21,3
102,0,1,09:07,3
101,1,0,08:57,3
100,0,1,08:49,3
99,1,0,08:21,3
98,0,1,08:00,3
97,1,0,07:28,3
96,0,1,06:58,3
95,1,0,06:37,3
94,0,1,06:18,3
93,0,1,06:17,3
92,1,0,05:48,3
91,0,1,05:34,3
90,1,0,05:12,3
89,0,1,04:47,3
88,1,0,04:44,3
87,0,1,04:18,3
86,1,0,03:52,3
85,1,0,03:34,3
84,1,0,03:20,3
83,0,1,03:13,3
82,1,0,02:46,3
81,0,1,02:24,3
80,1,0,01:52,3
79,0,1,01:36,3
78,1,0,01:28,3
77,1,0,01:13,3
76,0,1,00:52,3
75,1,0,00:35,3
74,1,0,00:34,3
73,0,1,00:05,3
72,1,0,00:01,3
140,1,0,09:50,4
139,1,0,09:26,4
138,1,0,09:11,4
137,0,1,09:05,4
136,1,0,08:56,4
135,0,1,08:31,4
134,1,0,08:08,4
133,1,0,07:49,4
132,1,0,07:23,4
131,1,0,07:20,4
130,1,0,07:07,4
129,0,1,06:45,4
128,1,0,06:30,4
127,0,1,06:14,4
126,1,0,05:43,4
125,0,1,05:32,4
124,1,0,05:04,4
123,0,1,04:46,4
122,1,0,04:07,4
121,1,0,03:52,4
120,1,0,03:25,4
119,0,1,03:03,4
118,1,0,02:34,4
117,0,1,02:02,4
116,1,0,01:41,4
115,1,0,01:25,4
114,1,0,01:16,4
113,0,1,00:57,4
112,1,0,00:46,4
111,1,0,00:34,4
110,0,1,00:22,4
109,1,0,00:18,4
108,1,0,00:15,4
107,1,0,00:12,4
106,1,0,00:03,4
