,off_pos,def_pos,time,period
33,0,1,09:32,1
32,1,0,09:09,1
31,0,1,09:06,1
30,1,0,09:04,1
29,0,1,08:59,1
28,1,0,08:36,1
27,0,1,08:18,1
26,1,0,07:45,1
25,0,1,07:30,1
24,1,0,07:04,1
23,0,1,06:29,1
22,0,1,06:05,1
21,1,0,06:02,1
20,0,1,05:14,1
19,1,0,04:48,1
18,0,1,04:34,1
17,1,0,04:23,1
16,0,1,04:00,1
15,0,1,03:45,1
14,0,1,03:40,1
13,1,0,03:37,1
12,1,0,03:11,1
11,0,1,03:10,1
10,1,0,02:57,1
9,0,1,02:37,1
8,1,0,02:25,1
7,0,1,02:18,1
6,1,0,02:05,1
5,0,1,01:34,1
4,1,0,01:21,1
3,1,0,01:12,1
2,1,0,00:24,1
1,1,0,00:10,1
0,0,1,00:03,1
63,1,0,09:40,2
62,0,1,09:19,2
61,1,0,08:47,2
60,1,0,08:42,2
59,1,0,08:30,2
58,1,0,08:05,2
57,1,0,07:35,2
56,0,1,06:47,2
55,1,0,06:44,2
54,1,0,06:42,2
53,0,1,06:14,2
52,1,0,05:59,2
51,1,0,05:40,2
50,0,1,05:13,2
49,1,0,05:02,2
48,1,0,04:36,2
47,0,1,03:49,2
46,1,0,03:35,2
45,0,1,03:22,2
44,1,0,03:10,2
43,0,1,02:47,2
42,0,1,02:29,2
41,1,0,02:27,2
40,0,1,02:15,2
39,1,0,02:07,2
38,0,1,01:20,2
37,1,0,01:02,2
36,0,1,00:37,2
35,1,0,00:24,2
34,0,1,00:01,2
99,0,1,09:31,3
98,1,0,09:10,3
97,1,0,08:59,3
96,0,1,08:55,3
95,1,0,08:37,3
94,0,1,07:52,3
93,1,0,07:15,3
92,0,1,06:46,3
91,1,0,06:28,3
90,1,0,06:25,3
89,0,1,06:19,3
88,1,0,06:14,3
87,1,0,05:46,3
86,0,1,05:20,3
85,1,0,05:01,3
84,1,0,04:35,3
83,1,0,04:24,3
82,0,1,04:01,3
81,1,0,03:40,3
80,0,1,03:25,3
79,1,0,02:55,3
78,1,0,02:48,3
77,1,0,02:40,3
76,0,1,02:36,3
75,1,0,02:31,3
74,1,0,02:14,3
73,0,1,01:56,3
72,1,0,01:41,3
71,0,1,01:19,3
70,0,1,01:14,3
69,1,0,01:01,3
68,0,1,00:49,3
67,1,0,00:44,3
66,1,0,00:41,3
65,0,1,00:04,3
64,1,0,00:00,3
130,1,0,09:48,4
129,0,1,07:49,4
128,0,1,07:31,4
127,1,0,07:27,4
126,1,0,07:22,4
125,0,1,07:01,4
124,1,0,06:49,4
123,1,0,06:45,4
122,0,1,06:17,4
121,1,0,06:06,4
120,0,1,05:48,4
119,1,0,05:45,4
118,1,0,05:42,4
117,0,1,05:20,4
116,1,0,05:10,4
115,0,1,05:01,4
114,1,0,04:46,4
113,1,0,04:21,4
112,0,1,03:56,4
111,1,0,03:40,4
110,1,0,03:12,4
109,1,0,02:55,4
108,0,1,02:54,4
107,1,0,02:53,4
106,1,0,02:20,4
105,1,0,02:06,4
104,1,0,02:02,4
103,1,0,01:07,4
102,1,0,00:56,4
101,0,1,00:26,4
100,1,0,00:17,4
