,off_pos,def_pos,time,period
33,1,0,09:48,1
32,0,1,09:18,1
31,1,0,08:58,1
30,0,1,08:56,1
29,1,0,08:43,1
28,0,1,08:37,1
27,1,0,08:30,1
26,0,1,08:07,1
25,1,0,07:40,1
24,0,1,07:14,1
23,1,0,07:04,1
22,0,1,06:40,1
21,1,0,06:15,1
20,1,0,06:05,1
19,0,1,05:42,1
18,1,0,05:18,1
17,0,1,05:12,1
16,1,0,04:54,1
15,1,0,04:31,1
14,1,0,04:07,1
13,0,1,03:54,1
12,1,0,03:46,1
11,0,1,03:31,1
10,1,0,02:54,1
9,1,0,02:34,1
8,1,0,02:07,1
7,0,1,01:51,1
6,1,0,01:27,1
5,0,1,01:08,1
4,1,0,00:48,1
3,0,1,00:22,1
2,1,0,00:07,1
1,0,1,00:04,1
0,1,0,00:03,1
74,1,0,09:46,2
73,0,1,09:38,2
72,1,0,09:14,2
71,1,0,09:02,2
70,0,1,08:57,2
69,1,0,08:38,2
68,0,1,08:18,2
67,1,0,08:01,2
66,0,1,07:40,2
65,1,0,07:31,2
64,1,0,07:20,2
63,1,0,07:08,2
62,0,1,07:05,2
61,1,0,06:56,2
60,0,1,06:32,2
59,1,0,06:21,2
58,1,0,05:47,2
57,1,0,05:44,2
56,0,1,05:19,2
55,1,0,05:11,2
54,0,1,04:39,2
53,1,0,04:31,2
52,1,0,04:07,2
51,1,0,03:35,2
50,0,1,03:23,2
49,1,0,03:06,2
48,1,0,03:02,2
47,1,0,02:38,2
46,0,1,02:16,2
45,1,0,02:06,2
44,1,0,01:49,2
43,1,0,01:30,2
42,0,1,01:20,2
41,1,0,01:06,2
40,0,1,01:01,2
39,1,0,00:49,2
38,1,0,00:25,2
37,1,0,00:17,2
36,0,1,00:06,2
35,0,1,00:01,2
34,1,0,00:00,2
111,0,1,09:52,3
110,1,0,09:33,3
109,1,0,09:17,3
108,1,0,08:56,3
107,0,1,08:39,3
106,1,0,08:23,3
105,0,1,08:11,3
104,1,0,07:54,3
103,0,1,07:41,3
102,1,0,07:24,3
101,0,1,07:09,3
100,1,0,06:47,3
99,0,1,06:27,3
98,1,0,06:19,3
97,1,0,06:02,3
96,0,1,05:57,3
95,1,0,05:40,3
94,0,1,05:32,3
93,1,0,05:10,3
92,1,0,05:02,3
91,1,0,04:28,3
90,0,1,04:11,3
89,1,0,03:51,3
88,0,1,03:23,3
87,1,0,03:16,3
86,0,1,02:53,3
85,1,0,02:39,3
84,1,0,02:34,3
83,0,1,02:24,3
82,1,0,02:08,3
81,0,1,01:45,3
80,0,1,01:33,3
79,1,0,01:30,3
78,1,0,01:24,3
77,0,1,00:51,3
76,1,0,00:27,3
75,0,1,00:03,3
146,0,1,09:41,4
145,1,0,09:17,4
144,0,1,08:54,4
143,1,0,08:30,4
142,0,1,08:15,4
141,1,0,07:54,4
140,0,1,07:21,4
139,1,0,07:10,4
138,1,0,07:03,4
137,0,1,06:52,4
136,1,0,06:21,4
135,0,1,06:09,4
134,1,0,05:52,4
133,0,1,05:49,4
132,1,0,05:41,4
131,0,1,05:24,4
130,1,0,04:54,4
129,0,1,04:43,4
128,1,0,04:17,4
127,1,0,03:54,4
126,1,0,03:28,4
125,1,0,03:18,4
124,1,0,02:56,4
123,1,0,02:24,4
122,1,0,02:15,4
121,0,1,01:49,4
120,1,0,01:27,4
119,0,1,01:15,4
118,1,0,00:52,4
117,1,0,00:42,4
116,1,0,00:32,4
115,1,0,00:30,4
114,0,1,00:24,4
113,1,0,00:16,4
112,0,1,00:12,4
